"Culture_ID"	"Plant_ID"	"Subspecies"	55	69	188	190	191
44443	989663	"[St.Pirol.n].2"			8.834	194	1.713796
44443	989664	"[St.Pirol.n].3"			8.426	202	1.702052
44443	989665	"[St.Pirol.n].4"			6.542	200	1.3084
44443	989666	"[St.Pirol.n].5"			9.03	194	1.75182
44443	989667	"[St.Pirol.n].6"			8.398	191	1.604018
44443	989668	"[St.Pirol.n].7"			9.606	209	2.007654
44443	989669	"[St.Pirol.n].8"			8.044	205	1.64902
44443	989670	"[St.Burana.n].1"			9.944	230	2.28712
44443	989671	"[St.Burana.n].2"			9.148	218	1.994264
44443	989672	"[St.Burana.n].3"			9.564	238	2.276232
44443	989673	"[St.Burana.n].4"			7.176	221	1.585896
44443	989674	"[St.Burana.n].5"			11.128	247	2.748616
44443	989675	"[St.Burana.n].6"			6.94	229	1.58926
44443	989676	"[St.Burana.n].7"			10.394	227	2.359438
44443	989677	"[St.Burana.n].8"			9.322	212	1.976264
44443	989678	"[St.Golf.n].1"			8.298	219	1.817262
44443	989679	"[St.Golf.n].2"			6.37	205	1.30585
44443	989680	"[St.Golf.n].3"			6.52	226	1.47352
44443	989681	"[St.Golf.n].4"			6.898	208	1.434784
44443	989682	"[St.Golf.n].5"			7.334	210	1.54014
44443	989683	"[St.Golf.n].6"			4.39	194	0.85166
44443	989684	"[St.Golf.n].7"			9.342	224	2.092608
44443	989685	"[St.Golf.n].8"			7.948	213	1.692924
44443	989686	"[St.Priamos.n].1"			7.66	216	1.65456
44443	989687	"[St.Priamos.n].2"			7.876	214	1.685464
44443	989688	"[St.Priamos.n].3"			9.63	228	2.19564
44443	989689	"[St.Priamos.n].4"			7.59	199	1.51041
44443	989690	"[St.Priamos.n].5"			5.044	211	1.064284
44443	989691	"[St.Priamos.n].6"			6.886	189	1.301454
44443	989692	"[St.Priamos.n].7"			7.558	218	1.647644
44443	989693	"[St.Priamos.n].8"			7.662	196	1.501752
44443	989694	"[St.Ramses.n].1"			9.002	216	1.944432
44443	989695	"[St.Ramses.n].2"			8.708	203	1.767724
44443	989696	"[St.Ramses.n].3"			9.2	199	1.8308
44443	989697	"[St.Ramses.n].4"			7.524	209	1.572516
44443	989698	"[St.Ramses.n].5"			10.222	214	2.187508
44443	989699	"[St.Ramses.n].6"			7.632	205	1.56456
44443	989700	"[St.Ramses.n].7"			10.626	209	2.220834
44443	989701	"[St.Ramses.n].8"			7.326	213	1.560438
44443	989702	"[St.Sibu.n].1"			10.098	189	1.908522
44443	989703	"[St.Sibu.n].2"			6.918	176	1.217568
44443	989704	"[St.Sibu.n].3"			8.942	223	1.994066
44443	989705	"[St.Sibu.n].4"			7.348	186	1.366728
44443	989706	"[St.Sibu.n].5"			8.258	220	1.81676
44443	989707	"[St.Sibu.n].6"			9.372	179	1.677588
44443	989708	"[St.Sibu.n].7"			10.526	202	2.126252
44443	989709	"[St.Sibu.n].8"			7.752	198	1.534896
44443	989710	"[St.Verdi.n].1"			7.586	222	1.684092
44443	989711	"[St.Verdi.n].2"			7.662	215	1.64733
44443	989712	"[St.Verdi.n].3"			10.624	222	2.358528
44443	989713	"[St.Verdi.n].4"			8.002	213	1.704426
44443	989714	"[St.Verdi.n].5"			9.824	215	2.11216
44443	989715	"[St.Verdi.n].6"			6.95	220	1.529
44443	989716	"[St.Verdi.n].7"			8.57	211	1.80827
44443	989717	"[St.Verdi.n].8"			7.54	229	1.72666
44443	989718	"[St.Milva.n].22"			9.262	174	1.611588
44443	989719	"[St.Milva.n].23"			9.05	148	1.3394
44443	989720	"[St.Milva.n].24"			10.326	181	1.869006
44443	989721	"[St.Milva.n].25"			7.416	155	1.14948
44443	989722	"[St.Milva.n].26"			9.734	184	1.791056
44443	989723	"[St.Milva.n].27"			6.104	146	0.891184
44443	989724	"[St.Milva.n].28"			11.608	159	1.845672
44443	989725	"[St.Milva.n].29"			8.342	159	1.326378
44443	989726	"[St.Saturna.n].22"			8.792	211	1.855112
44443	989727	"[St.Saturna.n].23"			6.354	189	1.200906
44443	989728	"[St.Saturna.n].24"			8.47	202	1.71094
44443	989729	"[St.Saturna.n].25"			8.666	207	1.793862
44443	989730	"[St.Saturna.n].26"			9.468	201	1.903068
44443	989731	"[St.Saturna.n].27"			6.808	190	1.29352
44443	989732	"[St.Saturna.n].28"			9.33	205	1.91265
44443	989733	"[St.Saturna.n].29"			7.494	177	1.326438
44443	989734	"[St.Desiree.n].1042"			4.698	150	0.7047
44443	989735	"[St.Desiree.n].1043"			6.896	159	1.096464
44443	989736	"[St.Desiree.n].1044"			8.666	168	1.455888
44443	989737	"[St.Desiree.n].1045"			4.674	148	0.691752
44443	989738	"[St.Desiree.n].1046"			7.384	173	1.277432
44443	989739	"[St.Desiree.n].1047"			7.052	150	1.0578
44443	989740	"[St.Desiree.n].1048"			7.082	163	1.154366
44443	989741	"[St.Desiree.n].1049"			5.192	140	0.72688
44443	989742	"[St.Alegria.n].22"			9.842	175	1.72235
44443	989743	"[St.Alegria.n].23"			7.12	156	1.11072
44443	989744	"[St.Alegria.n].24"			9.924	182	1.806168
44443	989745	"[St.Alegria.n].25"			7.66	162	1.24092
44443	989746	"[St.Alegria.n].26"			9.154	180	1.64772
44443	989747	"[St.Alegria.n].27"			7.27	170	1.2359
44443	989748	"[St.Alegria.n].28"			10.136	173	1.753528
44443	989749	"[St.Alegria.n].29"			8.398	166	1.394068
45985	1018681	"[St.Milva.n].84"			0.25509	115.9514	0.029578
45985	1018682	"[St.Milva.n].85"			0.26091	136.8574	0.035707
45985	1018683	"[St.Milva.n].86"			0.25642	153.5822	0.039382
45985	1018684	"[St.Milva.n].87"			0.25786	136.8574	0.03529
45985	1018685	"[St.Milva.n].88"			0.31211	130.5856	0.040757
45985	1018686	"[St.Milva.n].89"			0.25329	151.4916	0.038371
45985	1018687	"[St.Milva.n].90"			0.30007	92.9548	0.027893
45985	1018688	"[St.Milva.n].91"			0.35563	120.1326	0.042723
45985	1018689	"[St.Milva.n].92"			0.36737	124.3138	0.045669
45985	1018690	"[St.Milva.n].93"			0.36372	157.7634	0.057382
45985	1018691	"[St.Milva.n].94"			0.3226	157.7634	0.050894
45985	1018692	"[St.Milva.n].95"			0.31431	153.5822	0.048272
45985	1018693	"[St.Milva.n].96"			0.27986	128.495	0.035961
45985	1018694	"[St.Milva.n].97"			0.1966	143.1292	0.028139
45985	1018695	"[St.Milva.n].98"			0.29772	147.3104	0.043857
45985	1018696	"[St.Milva.n].99"			0.4312	145.2198	0.062619
45985	1018697	"[St.Milva.n].100"			0.37794	130.5856	0.049354
45985	1018698	"[St.Milva.n].101"			0.35958	138.948	0.049963
45985	1018699	"[St.Milva.n].102"			0.33031	147.3104	0.048658
45985	1018700	"[St.Milva.n].103"			0.31405	151.4916	0.047576
45985	1018701	"[St.Milva.n].104"			0.28849	134.7668	0.038879
