Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
58243,1214028,[St.Kiebitz.n].123,187.4,,3.7091,1.175,,256.475439244,48.0634973143
58243,1214029,[St.Kiebitz.n].124,440.2,,2.7837,0.757,,211.627223444,93.1583037599
58243,1214030,[St.Kiebitz.n].125,329.2,,2.8917,0.611,,150.981394301,49.7030750039
58243,1214031,[St.Kiebitz.n].126,492.1,,2.5561,0.847,,271.05118763,133.384289433
58243,1214032,[St.Kiebitz.n].127,474.1,,2.4632,0.837,,279.488883728,132.505679776
58243,1214033,[St.Kiebitz.n].128,168.7,,2.4473,0.575,,174.639805132,29.4617351258
58243,1214034,[St.Kiebitz.n].129,189.6,,2.3000,0.633,,214.904391304,40.7458725913
58243,1214035,[St.Kormoran.n].118,125.2,,3.4921,0.664,,129.830466682,16.2547744286
58243,1214036,[St.Kormoran.n].119,99.8,,4.7729,1.220,,195.296796979,19.4906203385
58243,1214037,[St.Kormoran.n].120,121.34,,3.3335,0.692,,147.276620519,17.8705451338
58243,1214038,[St.Kormoran.n].121,132.8,,2.4328,0.874,,298.943823413,39.6997397493
58243,1214039,[St.Kormoran.n].122,101.7,,3.0778,0.820,,206.11106914,20.9614957316
58243,1214040,[St.Kormoran.n].123,107.6,,2.2787,0.527,,170.959216615,18.3952117077
58243,1214041,[St.Kormoran.n].124,213.0,,3.1327,0.862,,214.84900083,45.7628371768
58243,1214042,[St.Kormoran.n].125,224.5,,3.2973,0.862,,201.113015225,45.1498719179
58243,1214043,[St.Kormoran.n].126,44.0,,2.7408,0.495,,120.291203152,5.2928129387
58243,1214044,[St.Kormoran.n].127,355.7,,2.9142,0.667,,168.566280763,59.9590260675
58243,1214045,[St.Kormoran.n].128,118.5,,2.4569,0.521,,151.742842729,17.9815268633
58243,1214046,[St.Kormoran.n].129,101.1,,3.1219,0.882,,222.207260098,22.4651539959
58243,1214049,[St.Logo.n].120,35.4,,3.0149,1.112,,308.521787223,10.9216712677
58243,1214050,[St.Logo.n].121,60.3,,3.5986,1.009,,220.073817096,13.2704511709
58243,1214051,[St.Logo.n].122,13.7,,2.2554,0.607,,208.818861311,2.86081839996
58243,1214053,[St.Logo.n].124,95.1,,2.4199,0.680,,220.690347246,20.9876520231
58243,1214055,[St.Logo.n].126,3.9,,2.0263,0.458,,165.714735281,0.646287467596
58243,1214056,[St.Logo.n].127,47.5,,2.0340,0.640,,254.33793412,12.0810518707
58243,1214059,[St.D.n].1.944,160.4,,3.2031,0.696,,156.976500796,25.1790307277
58243,1214060,[St.D.n].1.945,147.4,,3.0607,0.699,,168.066128957,24.7729474083
58243,1214061,[St.D.n].1.946,278.5,,2.8933,0.585,,141.878269485,39.5130980515
58243,1214062,[St.D.n].1.947,292.5,,2.9930,0.746,,188.935245907,55.2635594278
