culture,cultivar,aliquot,sample,C6,C6_log,Glu,Glu_log,Fru,Fru_log,Sac,Sac_log,treatment
48656,2673,1105846,869217,25.5140963404,3.23923109709078,3.41464974688,1.2280749246237,3.49793388705,1.25217247620339,11.3058220278,2.42531781673525,169
48656,2673,1105858,869220,13.64,2.61300665241532,4.10639801698,1.41254624935424,4.35527062407,1.47138674937724,9.74751044435,2.27701191336417,170
48656,2674,1105986,869252,167.152392684,5.11890592735534,1.47587243739,0.389249297910945,1.4348759808,0.361078420947153,10.0851283222,2.31106189539067,169
48656,382,1105870,869223,3.32581109188,1.20171358176744,2.08982743655,0.73708149632392,2.81486960842,1.03491594024175,8.70050606238,2.1633811920585,170
48656,382,1105998,869255,7.83,2.05796251000271,0.851274511173,-0.161020627603448,1.19178431564,0.175451609015919,6.25686765712,1.83367968562105,169
48656,2674,1105882,869226,23.7024923133,3.1655802035108,6.71041420277,1.90366067825428,7.93792899596,2.07165240949346,15.7121893528,2.75443680301607,169
48656,2673,1106010,869258,218.218818751,5.38549831510168,1.77695041462,0.574898644798948,1.69233372821,0.526108480629797,11.8886444407,2.47558369585169,170
48656,2675,1106114,869284,29.096483745,3.37061733337134,3.06519629344,1.12011161087418,3.88546009028,1.35724140416414,15.7792851444,2.75869801302277,170
48656,2673,1105894,869229,1.6077995142,0.474866482759669,6.22666649512,1.82884111658227,7.17509914008,1.97061657898298,12.7419864039,2.54490255666343,169
48656,2675,1106022,869261,326.404602875,5.78813772493599,2.04717789703,0.716462209121883,2.64427145033,0.972395583258926,12.7735370867,2.54737561577131,170
48656,382,1106126,869287,25.9175223407,3.25491927820762,2.06802492246,0.726594008053255,2.58503115307,0.94973755936553,10.8140469904,2.3808459362805,170
48656,2673,1105766,869197,1.40272304556,0.338415380037485,1.1752317557,0.161465367040706,1.55298482004,0.440178769514786,8.6253616356,2.15470689080365,170
48656,2675,1105906,869232,425.291858352,6.05277565877045,7.31095092198,1.98937335038754,7.87333176213,2.06348132254097,14.3839714885,2.66611449555961,170
48656,2675,1106034,869264,104.581718189,4.64996875804747,3.21276373452,1.16713154320026,4.54793827355,1.51467400357763,13.5395043098,2.60561165749346,169
48656,2675,1106138,869290,61.5870118226,4.1204510012724,5.34069815609,1.67535638526709,6.25863065167,1.83396141544405,15.145886177,2.71772895560991,169
48656,382,1105778,869200,22.1929851945,3.0997762567156,3.16285672505,1.15147564612716,3.65576946143,1.29630659400796,10.5770858013,2.35868994437693,169
48656,2673,1105918,869235,15.1817794238,2.72009598669177,6.95646796933,1.93967186986599,7.72940885481,2.04503238552368,13.3230599997,2.58949636843562,170
48656,2674,1106046,869267,8.48366897952,2.13814301891155,2.07310881706,0.729049324627814,2.83465899475,1.04192164590621,11.3597901506,2.43007994046393,169
48656,2674,1105790,869203,548.625497248,6.30741605436114,3.4281463862,1.23201970291596,4.93318626307,1.59598508011772,13.6289722183,2.61219783701788,169
48656,382,1105930,869238,202.435982242,5.31042369948819,1.7592718777,0.564900017597912,2.61745328146,0.962201815068406,8.45308682702,2.13453167963425,170
48656,2675,1106058,869270,13.0656864324,2.56998943738575,3.11341638507,1.13572063936352,3.36931362219,1.21470905067947,13.2426820214,2.58344509958656,170
48656,2675,1105802,869206,17.4221477098,2.85774225370997,2.92207428752,1.07229373652347,4.11559758806,1.41478404547114,12.6143066074,2.53483161485901,169
48656,382,1105942,869241,81.1600421047,4.39642303374383,3.42328918051,1.23060183757769,4.30105563705,1.45886048955843,9.65543102195,2.26752055724033,169
48656,2675,1106070,869273,40.6384271926,3.70471410155184,4.13716271196,1.42001021761229,4.76164010244,1.56059216823253,14.7923081871,2.69410732858249,169
48656,2673,1105814,869209,328.851402751,5.79560598536393,1.54379556074,0.434244033988609,2.12793442157,0.755151754073156,10.4101889839,2.3427850365351,170
48656,2675,1105954,869244,71.1283222369,4.26448560118902,3.43970269962,1.23538504312142,3.65468411834,1.29600966493615,14.0597847847,2.64331857934503,170
