Culture_ID,Plant_ID,Subspecies,55,69,163,164,188,225,190,191
44443,989588,[St.Sommergold.n].7,,,,,8.314000,,243.000000,2.020302
44443,989589,[St.Sommergold.n].8,,,,,7.376000,,211.000000,1.556336
44443,989590,[St.Jasira.n].1,,,,,9.094000,,194.000000,1.764236
44443,989591,[St.Jasira.n].2,,,,,8.852000,,197.000000,1.743844
44443,989592,[St.Jasira.n].3,,,,,11.134000,,213.000000,2.371542
44443,989593,[St.Jasira.n].4,,,,,7.678000,,194.000000,1.489532
44443,989594,[St.Jasira.n].5,,,,,11.476000,,194.000000,2.226344
44443,989595,[St.Jasira.n].6,,,,,9.742000,,202.000000,1.967884
44443,989596,[St.Jasira.n].7,,,,,8.838000,,205.000000,1.811790
44443,989597,[St.Jasira.n].8,,,,,6.920000,,202.000000,1.397840
44443,989598,[St.Desiree.n].1034,,,,,7.320000,,162.000000,1.185840
44443,989599,[St.Desiree.n].1035,,,,,5.278000,,156.000000,0.823368
44443,989600,[St.Desiree.n].1036,,,,,5.836000,,162.000000,0.945432
44443,989601,[St.Desiree.n].1037,,,,,5.366000,,148.000000,0.794168
44443,989602,[St.Desiree.n].1038,,,,,6.236000,,165.000000,1.028940
44443,989603,[St.Desiree.n].1039,,,,,8.074000,,148.000000,1.194952
44443,989604,[St.Desiree.n].1040,,,,,6.518000,,172.000000,1.121096
44443,989605,[St.Desiree.n].1041,,,,,5.204000,,138.000000,0.718152
44443,989606,[St.Albatros.n].1,,,,,7.542000,,243.000000,1.832706
44443,989607,[St.Albatros.n].2,,,,,7.894000,,227.000000,1.791938
44443,989608,[St.Albatros.n].3,,,,,7.880000,,243.000000,1.914840
44443,989609,[St.Albatros.n].4,,,,,6.824000,,230.000000,1.569520
44443,989610,[St.Albatros.n].5,,,,,6.830000,,247.000000,1.687010
44443,989611,[St.Albatros.n].6,,,,,7.848000,,217.000000,1.703016
44443,989612,[St.Albatros.n].7,,,,,7.820000,,240.000000,1.876800
44443,989613,[St.Albatros.n].8,,,,,7.644000,,230.000000,1.758120
44443,989614,[St.Alegria.n].14,,,,,8.870000,,177.000000,1.569990
44443,989615,[St.Alegria.n].15,,,,,7.550000,,152.000000,1.147600
44443,989616,[St.Alegria.n].16,,,,,8.720000,,185.000000,1.613200
44443,989617,[St.Alegria.n].17,,,,,6.762000,,157.000000,1.061634
44443,989618,[St.Alegria.n].18,,,,,8.440000,,183.000000,1.544520
44443,989619,[St.Alegria.n].19,,,,,7.670000,,154.000000,1.181180
44443,989620,[St.Alegria.n].20,,,,,10.856000,,178.000000,1.932368
44443,989621,[St.Alegria.n].21,,,,,8.924000,,174.000000,1.552776
44443,989622,[St.Karlena.n].1,,,,,7.224000,,225.000000,1.625400
44443,989623,[St.Karlena.n].2,,,,,5.146000,,179.000000,0.921134
44443,989624,[St.Karlena.n].3,,,,,7.024000,,189.000000,1.327536
44443,989625,[St.Karlena.n].4,,,,,7.652000,,182.000000,1.392664
44443,989626,[St.Karlena.n].5,,,,,7.412000,,206.000000,1.526872
44443,989627,[St.Karlena.n].6,,,,,5.220000,,183.000000,0.955260
44443,989628,[St.Karlena.n].7,,,,,6.918000,,203.000000,1.404354
44443,989629,[St.Karlena.n].8,,,,,6.628000,,182.000000,1.206296
44443,989630,[St.Kiebitz.n].1,,,,,6.192000,,185.000000,1.145520
44443,989631,[St.Kiebitz.n].2,,,,,4.956000,,180.000000,0.892080
44443,989632,[St.Kiebitz.n].3,,,,,5.612000,,206.000000,1.156072
44443,989633,[St.Kiebitz.n].4,,,,,5.458000,,209.000000,1.140722
44443,989634,[St.Kiebitz.n].5,,,,,6.618000,,207.000000,1.369926
44443,989635,[St.Kiebitz.n].6,,,,,6.182000,,186.000000,1.149852
44443,989636,[St.Kiebitz.n].7,,,,,6.946000,,213.000000,1.479498
44443,989637,[St.Kiebitz.n].8,,,,,5.122000,,179.000000,0.916838
44443,989638,[St.Kolibri.n].1,,,,,6.504000,,220.000000,1.430880
44443,989639,[St.Kolibri.n].2,,,,,4.940000,,197.000000,0.973180
44443,989640,[St.Kolibri.n].3,,,,,6.282000,,231.000000,1.451142
44443,989641,[St.Kolibri.n].4,,,,,5.336000,,211.000000,1.125896
44443,989642,[St.Kolibri.n].5,,,,,6.364000,,219.000000,1.393716
44443,989643,[St.Kolibri.n].6,,,,,6.290000,,207.000000,1.302030
44443,989644,[St.Kolibri.n].7,,,,,7.902000,,218.000000,1.722636
44443,989645,[St.Kolibri.n].8,,,,,5.286000,,209.000000,1.104774
44443,989646,[St.Kormoran.n].1,,,,,8.162000,,243.000000,1.983366
44443,989647,[St.Kormoran.n].2,,,,,5.302000,,214.000000,1.134628
44443,989648,[St.Kormoran.n].3,,,,,8.006000,,240.000000,1.921440
44443,989649,[St.Kormoran.n].4,,,,,6.610000,,221.000000,1.460810
44443,989650,[St.Kormoran.n].5,,,,,8.208000,,240.000000,1.969920
44443,989651,[St.Kormoran.n].6,,,,,5.024000,,217.000000,1.090208
44443,989652,[St.Kormoran.n].7,,,,,8.056000,,249.000000,2.005944
44443,989653,[St.Kormoran.n].8,,,,,5.744000,,215.000000,1.234960
44443,989654,[St.Maxilla.n].1,,,,,9.630000,,232.000000,2.234160
44443,989655,[St.Maxilla.n].2,,,,,9.638000,,209.000000,2.014342
44443,989656,[St.Maxilla.n].3,,,,,9.902000,,243.000000,2.406186
44443,989657,[St.Maxilla.n].4,,,,,7.000000,,236.000000,1.652000
44443,989658,[St.Maxilla.n].5,,,,,8.708000,,224.000000,1.950592
44443,989659,[St.Maxilla.n].6,,,,,7.546000,,210.000000,1.584660
44443,989660,[St.Maxilla.n].7,,,,,9.182000,,238.000000,2.185316
44443,989661,[St.Maxilla.n].8,,,,,7.390000,,217.000000,1.603630
44443,989662,[St.Pirol.n].1,,,,,7.980000,,207.000000,1.651860
44443,989663,[St.Pirol.n].2,,,,,8.834000,,194.000000,1.713796
44443,989664,[St.Pirol.n].3,,,,,8.426000,,202.000000,1.702052
